Nothing,OMAZ,DMAZ,BIKE_LOGSUM,BIKE_TIME
1002218,2252,813,-2.15,10.331
1002220,2238,1247,-0.417,9.513
1002234,1938,10670,-1.884,9.706
1002236,2189,2889,3.726,1.036
1002238,2037,7601,-1.74,9.744
1002241,1939,10639,-1.698,6.548
1002247,1939,10638,-3.249,7.694
1002253,2189,2888,-0.424,3.993
1002254,1938,10669,-0.856,7.698
1002260,1938,10672,0.645,6.039
1002261,1939,10641,-0.351,4.997
1002262,2218,1992,1.082,2.614
1002267,2059,6921,-1.919,11.611
1002274,2218,1991,4.129,0.805
1002277,1938,10671,0.526,5.46
1002278,1939,10640,-2.175,12.991
1002286,2252,932,-0.121,8.958
1002288,2184,3040,-1.447,5.454
1002290,1938,10666,-2.305,10.726
1002291,1939,10635,-0.967,5.156
1002296,2238,1365,-1.725,8.027
1002298,1938,10665,-2.101,10.28
1002299,2279,94,-0.342,8.575
1002300,2184,3039,2.969,3.346
1002306,1939,10634,-0.612,4.458
1002308,2189,2887,-1.902,8.276
1002312,1938,10668,-1.205,7.422
1002313,1939,10637,-2.756,6.912
1002315,2078,6328,-2.921,9.64
1002322,1938,10667,-3.055,11.37
1002325,2252,933,3.885,4.181
1002326,2225,1770,-5.421,10.48
1002328,2184,3041,-4.005,7.394
1002329,1997,8838,3.311,5.315
1002330,1939,10636,-3.044,6.859
1002337,2189,2881,0.448,1.697
1002342,1939,10631,0.005,4.928
1002348,1938,10662,-3.988,11.602
1002349,2006,8554,-5.082,10.908
1002354,1938,10661,1.737,10.018
1002358,1939,10630,-1.763,9.62
1002364,2085,6104,-0.314,7.487
1002366,2006,8553,-4.3,10.558
1002369,2253,899,0.146,4.382
1002371,2189,2883,-2.544,11.499
1002373,1938,10664,-3.969,11.48
1002374,2279,93,-0.762,9.703
1002378,1939,10633,0.67,4.95
1002382,2177,3254,-5.222,11.995
1002384,2250,991,-0.888,3.973
1002388,1938,10663,0.463,9.435
1002389,1939,10632,0.183,4.751
1002397,2085,6101,-2.516,13.356
1002405,2280,56,1.136,1.243
1002406,2238,1357,-0.684,10.771
1002408,2217,2008,0.722,9.302
1002409,2280,55,-0.346,5.271
1002411,2279,86,0.674,3.2
1002431,2134,4584,-5.155,10.068
1002434,1938,10660,0.617,12.21
1002435,1939,10629,-1.073,7.37
1002437,2275,213,-0.301,4.266
1002439,2246,1111,-1.809,6.744
1002448,2250,982,0.004,2.628
1002449,2218,1974,-0.1,5.658
1002456,1998,8794,-1.613,10.825
1002458,2279,83,-0.825,6.537
1002470,2250,981,-0.925,3.223
1002478,2049,7212,-3.786,11.86
1002482,2253,891,-4.353,9.257
1002484,2250,984,3.465,1.938
1002485,2218,1976,1.142,7.255
1002487,2279,85,-0.108,2.351
1002489,2177,3247,-5.968,13.292
1002501,2084,6129,-0.067,4.43
1002513,2104,5509,-1.477,11.256
1002515,2218,1975,0.449,3.71
1002516,2117,5106,-5.17,12.993
1002518,2217,2006,2.282,7.347
1002522,2171,3427,3.432,1.613
1002531,2171,3426,3.772,1.177
1002533,2104,5503,4.041,1.416
1002538,2177,3243,-5.412,12.278
1002546,2279,81,-1.352,11.29
1002553,1991,9009,0.206,3.016
1002559,2280,49,-0.45,4.298
1002561,2189,2870,2.078,9.798
1002567,2275,204,-6.161,12.395
1002570,1998,8791,-4.121,10.144
1002577,2217,1997,-3.654,7.262
1002578,1989,9065,-0.034,6.619
1002593,2218,1965,-0.519,6.375
1002594,2121,4972,-3.429,12.703
1002598,1989,9064,-0.925,5.902
1002600,2279,74,-2.139,9.384
1002615,1989,9067,1.55,8.158
1002624,2218,1967,-1.44,4.28
1002627,2171,3424,-0.106,3.732
1002630,2217,1998,1.103,2.751
1002634,1989,9066,-1.244,7.453
1002637,2246,1094,-0.608,8.712
1002641,2238,1342,-0.673,11.734
1002650,2189,2860,-1.662,10.824
1002653,2217,1992,1.324,9.137
1002654,2104,5495,3.094,2.753
1002662,2246,1096,0.521,6.534
1002691,2066,6670,-6.987,13.569
1002698,2189,2857,-0.21,3.891
1002701,2280,36,0.483,3.251
1002713,2253,872,-0.774,2.951
1002723,2066,6669,3.384,2.291
1002725,2241,1247,-0.937,11.223
1002728,2217,1991,1.917,7.607
1002740,1998,8779,-6.347,11.696
1002745,2008,8469,-4.666,12.101
1002752,2121,4966,3.258,3.218
1002762,2218,1953,-3.919,9.185
1002764,2250,961,-5.292,11.726
1002765,2252,899,-0.633,10.832
1002770,2275,186,0.987,3.126
1002771,2171,3410,-1.313,4.626
1002779,2059,6882,-2.601,9.791
1002782,2251,933,-3.868,9.154
1002783,2225,1739,-0.951,2.341
1002798,2251,932,-2.2,10.697
1002806,2006,8527,0.468,2.28
1002809,2241,1237,-0.159,4.457
1002815,2280,28,0.258,2.122
1002819,2084,6104,0.729,5.472
1002822,2171,3406,-2.077,5.145
1002825,1862,12985,-1.413,4.855
1002833,1998,8769,-1.677,3.852
1002835,2171,3409,-1.096,4.04
1002837,2252,898,-0.135,4.584
1002838,2238,1332,-0.655,12.516
1002841,2039,7501,-1.441,6.168
1002851,2253,866,0.178,1.75
1002857,1998,8771,0.787,5.916
1002865,2225,1729,-1.09,8.333
1002868,2184,3000,-1.227,7.674
1002870,2121,4953,-3.04,12.864
1002878,2279,55,-0.919,11.83
1002880,2252,891,1.443,4.206
1002890,2008,8455,-1.507,11.386
1002894,2238,1328,-0.545,10.782
1002903,1862,12984,0.556,3.554
1002908,2279,56,-1.724,11.978
1002911,2280,25,-2.762,8.465
1002914,2238,1327,-0.961,11.53
1002926,2189,2841,-1.108,10.548
1002939,2238,1321,-0.268,5.184
1002940,2217,1972,-3.514,6.802
1002953,2217,1975,3.297,4.009
1002955,2085,6067,-1.73,11.13
1002965,2078,6283,-1.17,8.891
1002966,2225,1726,-4.416,10.555
1002972,2217,1974,-0.448,9.778
1002977,1997,8794,-2.335,12.726
1002987,2184,2992,2.912,3.751
1002998,2189,2836,-2.458,10.596
1003012,2184,2994,-4.965,12.472
1003018,1997,8791,-2.195,9.08
1003022,2218,1939,0.303,5.222
1003024,2189,2838,-1.594,11.519
1003032,2225,1717,-4.684,10.161
1003043,2225,1716,-0.196,5.442
1003051,2189,2832,-1.19,6.941
1003058,2217,1967,-2.418,8.096
1003061,2189,2835,-0.024,5.083
1003064,2039,7485,-2.636,8.354
1003066,2189,2834,-0.889,8.432
1003068,1992,8941,-1.48,12.165
1003071,2246,1062,-0.016,8.148
1003085,1998,8749,-0.032,6.739
1003092,2275,162,-1.681,4.084
1003096,2250,940,-5.577,11.428
1003105,2171,3388,-1.719,8.225
1003112,2039,7480,-1.142,10.735
1003116,2250,806,-5.504,12.439
1003121,2155,3751,-5.126,10.961
1003129,2253,712,-2.816,6.511
1003136,2171,3254,-3.701,7.598
1003140,2246,932,0.379,10.505
1003145,2155,3753,-3.056,5.752
1003149,2104,5334,-0.477,5.107
1003160,2155,3752,-2.77,6.839
1003161,2085,5922,-0.751,9.516
1003165,1998,8619,-1.57,5.49
1003167,2225,1577,-2.44,12.168
1003169,2217,1825,-4.566,12.328
1003177,2253,708,-0.481,10.523
1003178,2218,1793,-3.174,6.937
1003199,2252,741,-2.459,11.035
1003203,2275,28,-1.865,7.248
1003216,2171,3247,-5.434,12.296
1003220,1991,8827,-2.067,13.273
1003224,2078,6129,-4.152,11.388
1003231,2253,707,0.415,6.243
1003243,2275,25,-0.626,3.681
1003244,2117,4923,0.54,2.874
1003257,2251,763,-5.139,13.447
1003258,2177,3057,-4.134,13.611
1003275,2250,796,-2.932,7.221
1003280,2085,5911,-0.81,4.814
1003290,2250,795,0.85,2.29
1003293,2252,733,-0.402,9.571
1003295,2225,1570,-3.381,4.09
1003300,2184,2841,-1.157,6.446
1003310,2184,2836,-0.98,3.593
1003316,1989,8881,-4.646,13.359
1003321,2217,1812,3.218,4.304
1003323,2184,2835,-2.365,5.656
1003330,2250,792,-0.429,4.861
1003334,2184,2838,-1.385,7.782
1003335,2177,3055,-1.537,11.427
1003339,2049,7023,-3.195,9.392
1003341,2251,760,-5.894,11.949
1003343,2217,1814,-1.456,8.668
1003356,2250,786,-4.157,8.447
1003359,2184,2832,-5.007,12.914
1003360,2189,2677,-1.477,10.911
1003361,1989,8877,-1.691,13.129
1003370,2049,7016,-2.486,11.585
1003371,2039,7326,-2.575,7.462
1003376,2184,2834,-0.34,4.957
1003377,2177,3051,-3.02,12.609
1003392,2117,4910,-2.597,13.431
1003396,2252,720,-2.198,8.921
1003397,2251,751,-1.178,7.038
1003407,2251,750,-5.272,11.194
1003417,2238,1156,-0.746,10.089
1003419,2225,1559,-0.878,7.917
1003430,2251,747,-0.077,3.541
1003433,2177,3041,-5.46,9.524
1003437,2154,3754,-6.565,12.447
1003448,2154,3753,-4.63,9.896
1003450,2275,2,-0.907,3.371
1003451,2049,7008,-2.994,12.788
1003455,2246,904,-2.711,12.074
1003458,2155,3725,-4.244,8.194
1003462,2217,1802,-0.767,7.785
1003465,2155,3724,-3.96,10.207
1003472,2246,898,0.608,2.076
1003473,2252,712,3.717,5.007
1003493,1992,8771,-0.781,5.61
1003501,2184,2822,3.027,2.94
1003502,2084,5922,1.86,9.984
1003504,1997,8619,-1.692,6.695
1003505,2171,3225,-1.797,8.791
1003506,2154,3752,-5.002,10.791
1003509,2241,1054,-0.72,10.02
1003516,2217,1793,-4.053,8.026
1003518,2252,708,-1.561,12.38
